SourceID ra dec _25um_Flux_8pix _25um_Flux_8pix_err _25um_Flux_G2D _25um_Flux_G2D_err fwhm25 _37um_Flux_10_5pix _37um_Flux_10_5pix_err _37um_Flux_G2D _37um_Flux_G2D_err fwhm37 _25ApPhot_qflag _37ApPhot_qflag G2D25_qflag G2D37_qflag bkg_qflag25 bkg_qflag37 vExtFlag25 vExtFlag37
SFGC0.317-0.0069 266.599792 -28.669272 0.919 0.1641 0.8199 0.05349 2.868 3.761 0.4055 3.311 0.491 13.98 000 000 0 0.0 0 0 0 0
SFGC359.630-0.0809 266.263333 -29.293792 6.942 0.1126 7.104 0.07933 6.198 8.423 0.2474 7.567 0.1652 7.711 000 000 0 0.0 0 0 0 0
SFGC0.143+0.0142 266.475958 -28.807106 11.36 0.4398 13.75 0.5186 10.37 25.62 0.9579 23.85 0.8514 10.26 000 000 0 0.0 1 0 0 0
SFGC0.087-0.0443 266.499708 -28.885336 4.712 0.1397 5.055 0.1143 7.195 1.787 0.3684 2.2 0.2051 6.428 000 001 0 0.0 0 0 0 0
SFGC359.975-0.0813 266.469333 -29.000017 103.8 0.4225 109 0.319 6.642 143.7 2.116 129.1 1.521 8.295 000 000 0 0.0 1 0 0 0
SFGC0.188-0.0369 266.552458 -28.795256 10.32 1.783 12.88 2.656 13.11 34.32 4.13 28.4 6.378 17.83 000 000 0 0.0 1 1 1 1
SFGC0.098-0.0508 266.512583 -28.879322 4.427 0.1666 4.401 0.09486 5.007 6.263 0.3729 5.418 0.1783 5.519 000 000 0 0.0 0 0 0 0
SFGC0.124-0.0868 266.563417 -28.875472 11.54 0.1151 12.35 0.09354 7.148 15.85 0.3927 13.74 0.3373 9.914 000 000 0 0.0 0 0 0 0
SFGC0.642-0.0819 266.86475 -28.430181 3.678 0.1592 4.397 0.2009 11.1 16.02 0.4997 14.05 0.5034 11.63 000 000 0 0.0 0 0 0 0
SFGC359.388-0.0667 266.104042 -29.493089 0.7423 0.117 0.842 0.0486 3.652 1.046 0.255 0.6381 0.06957 3.15 000 000 0 0.0 0 0 0 0
SFGC0.417-0.0490 266.700042 -28.605658 1.717 0.08356 1.27 0.03536 2.633 1.053 0.1985 0.8402 0.06946 4.039 000 000 0 0.0 0 0 0 0
SFGC359.663-0.0257 266.228833 -29.237172 32.63 0.1932 32.17 0.1278 5.817 73.94 0.5578 65.67 0.4096 8.477 000 000 0 0.0 0 0 0 0
SFGC0.113-0.0765 266.546667 -28.879622 "" "" 0.2644 0.02745 2.785 0.9413 0.2499 "" "" 26 011 001 0 1.0 0 0 0 0
SFGC359.929+0.0372 266.326167 -28.977731 2.941 0.4098 4.691 0.8304 17.82 4.334 1.06 4.17 1.144 12.47 000 100 0 0.0 1 0 1 0
SFGC0.066+0.0124 266.432042 -28.873531 6.609 0.3278 7.079 0.2658 7.132 9.855 0.7176 9.004 0.5028 8.089 000 000 0 0.0 1 0 0 0
SFGC359.993-0.0792 266.477875 -28.983769 2.476 0.1253 2.879 0.1207 8.471 7.634 0.3099 6.923 0.2299 8.562 000 000 0 0.0 0 0 0 0
SFGC359.964-0.0299 266.41275 -28.982425 28.32 1.111 35.49 1.869 14.79 115.7 3.237 97.41 4.345 15.5 000 000 0 0.0 1 1 1 1
SFGC0.618-0.0948 266.863208 -28.457428 3.364 0.1024 3.616 0.08823 7.575 9.74 0.2468 8.625 0.2159 10.1 000 000 0 0.0 0 0 0 0
SFGC359.985+0.0272 266.369417 -28.934914 401.2 1.734 416.4 1.246 6.323 405.6 2.22 361.7 1.521 7.909 000 000 0 0.0 1 0 0 0
SFGC0.217+0.0226 266.512083 -28.738956 0.4259 0.1243 0.5868 0.04413 3.123 "" "" 0.3431 0.1125 2.483 001 111 0 0.0 0 0 0 0
SFGC359.919-0.0553 266.410417 -29.034494 4.267 0.1703 4.259 0.1142 2.999 28.08 1.975 22.75 3.036 17.75 000 000 0 0.0 0 0 0 1
SFGC0.666-0.0506 266.848708 -28.393194 11.57 0.1593 11.66 0.1017 5.613 32.9 0.4186 30.05 0.2452 6.763 000 000 0 0.0 0 0 0 0
SFGC359.925+0.0325 266.328917 -28.982842 0.4688 0.09944 0.4548 0.03576 3.163 0.8873 0.277 1.277 0.1527 6.364 000 001 0 0.0 0 0 0 0
SFGC0.165-0.0582 266.559833 -28.825558 94.51 0.4192 98.3 0.2875 6.033 84.46 1.411 74.66 0.7769 6.357 000 000 0 0.0 1 0 0 0
SFGC0.563-0.0441 266.781292 -28.478425 9.55 0.1177 9.705 0.08211 6.136 25.57 0.2565 22.88 0.1789 8.051 000 000 0 0.0 0 0 0 0
